Parameter,Values
chestHR,"[55,54,53,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,52,51,79]"
chestIBI,"[1098,1125,1068,984,1018,1045,1088,1090,1031,1064,1078,1059,1008,1070,992,1041,1055,990,959,988,947,895,900,887,818,877,912,873,885,904,865,844,898,859,846,922,914,936,1012,1037,1020,980,1027,955,975,1039,1029,1010,1043,1000,1080,1025,1002,1004,926,881,910,967,934,869,813,805,783,771,820,889,939,916,979,932,961,969,896,1023,971,1082,998,826,848,893,941,1072,1111,1057,1113,1033,1076,1096,1035,875,1160,1117,1051,1047,1021,1063,1053,1066,977,1006,982,994,996,951,1014,973,953,840,928,986,1049,949,963,902,957,855,891,938,924,918,906,791,766,758,850,883,838,867,871,834,836,863,930,965,945]"
chestRPeak,"[1169,1209,1203,1027,1082,1146,1177,1210,1071,1108,1165,1194,1084,1158,1149,1112,1101,1200,1160,1093,1229,1198,1136,1132,1151,1083,1148,1220,1168,1074,1162,1181,1057,1076,1213,1183,1133,1170,1172,1065,1239,1180,1124,1186,1126,1064,1134,1251,1116,1121,1187,1130,1244,1166,1238,1215,1044,1068,1195,1115,1207,1204,1104,1157,1073,1152,1154,1072,1193,1163,1081,1223,1217,1227,1234,1214,1147,1087,1088,1191,1098,1155,1261,1233,1120,1066,1201,1090,1211,1075,1196,1078,1060,1197,1185,1218,1205,1141,1054,1252,1086,1224,1034,1189,1103,1123,1199,1063,1202,1192,1118,1067,1230,1173,1236,1159,1175,1248,1135,1257,1253,1094,1242,1097,1219,1179,1127,1190,1041,1167,1055,1221,1145,1174,1040,1111,1206,1216,1113,1129,1208,1122,1107,1156,1099,1128,1184,1255,1096,1321,863,1048,962,1232,1226,1105,1138,1176,1139,1119,995,1225,1109,1254]"
chestRI,"[4109,2016,4250,2031,1156,3953,13031,3766,10078,19344,4875,6625,813,1406,6391,1078,3750,3813,1984,1844,1313,1734,875,25906,1188,8125,9438,11953,12609,5453,3703,2281,5031,6688,7109,4094,1938,3922,6813,1859,3563,5156,1016,3859,1969,1797,1719,1875,1469,1672,28313]"
chestRPeaks,"[1.8,1.2,1.3,1.9,1.6,2.,1.4,1.5,2.1,1.7,2.2,2.8,6.9,3.3]"
chestRR,"[15,14,13,12,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,39,40,41,43,44,45,47,48,49,50,51,52,53,46,42,38,33,10,9,8,7,6,5,4,55,57,59,61,63,66,68,70,72,74,76,78,79,81,82,83,84,85,80,77,75,73,3,2,100,65,54,56,71,96,58,69,1,97,90,91,67]"
fingerEDA,"[0.00,0.01,0.03,0.04,0.05,0.06,0.02,0.07,0.1,0.13,0.14,0.11,0.08,0.2,0.24,0.26,0.25,0.23,0.17,0.12,0.09,0.19,0.31,0.35,0.4,0.43,0.46,0.49,0.51,0.53,0.55,0.57,0.58,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.56,0.5,0.37,0.22,0.16]"
fingerEDASC,"[0.0,0.01,0.05,0.06,0.18,0.03,0.02,0.63,0.68,0.65,0.07]"
fingerEDATD,"[0.0,0.01,0.02,0.03]"
fingerEDAPD,"[0.0,0.01,0.06,0.02,0.07,0.18,0.04,0.63,0.68,0.65,0.03]"
